id,name,category,description,recommended_styles,recommended_palettes
1,CryptoDesk Pro,Fintech,Professional cryptocurrency trading dashboard with real-time data,Glassmorphism;Dark OLED,Midnight Crypto;Neon City
2,PayFlow,Fintech,Seamless payment processing platform for businesses,Minimalism;Clean Grid,Ocean Depth;Steel Blue
3,WealthManager,Fintech,Personal wealth and investment management app,Neumorphism;Soft UI,Deep Purple;Indigo Depths
4,TradePulse,Fintech,High-frequency trading analytics and signals platform,Data-Dense;Brutalism,Carbon Black;Obsidian
5,BankKit,Fintech,Digital banking platform with full feature set,Clean Grid;Minimalism,Arctic Pulse;Nordic Blue
6,LoanLens,Fintech,AI-powered loan underwriting and decisioning system,Swiss Style;Minimalism,Slate Minimal;Pearl White
7,InsureNow,Fintech,Digital insurance comparison and management platform,Soft UI;Clean Grid,Sea Salt;Cool Gray Pro
8,TaxGenius,Fintech,Intelligent tax preparation and filing software,Minimalism;Clean Grid,Frost White;Arctic Ice
9,NeuralChat,AI SaaS,Conversational AI platform with fine-tuning capabilities,AI-Native UI;Glassmorphism,Midnight Crypto;Deep Purple
10,PromptStudio,AI SaaS,Professional prompt engineering and management tool,AI-Native UI;Minimalism,Stellar Black;Carbon Black
11,DataSynth,AI SaaS,AI data synthesis and augmentation platform,Data-Dense;AI-Native UI,Matrix Green;Cyber Green
12,ModelHub,AI SaaS,Model registry and serving platform for ML teams,Swiss Style;Minimalism,Slate Minimal;Cool Gray Pro
13,VisionAPI,AI SaaS,Computer vision API platform for developers,AI-Native UI;Brutalism,Neon City;Electric Blue
14,SpeechForge,AI SaaS,Voice AI and speech synthesis SaaS platform,AI-Native UI;Gradient Glass,Aurora Borealis;Electric Violet
15,DocuAI,AI SaaS,Intelligent document processing and extraction service,Minimalism;Clean Grid,Pearl White;Sea Salt
16,CopilotKit,AI SaaS,Developer toolkit for building AI-powered applications,Swiss Style;Minimalism,Carbon Black;Obsidian
17,MediChart,Healthcare,Electronic health records and patient management,Soft UI;Minimalism,Mint Fresh;Teal Clarity
18,HealthTrack,Healthcare,Patient health monitoring and wellness platform,Neumorphism;Soft UI,Meadow Green;Jade Emperor
19,CareConnect,Healthcare,Telemedicine and virtual care coordination platform,Clean Grid;Soft UI,Arctic Pulse;Sky High
20,PharmaScan,Healthcare,Prescription management and drug interaction checker,Minimalism;Swiss Style,Pearl White;Cool Gray Pro
21,ClinicalDash,Healthcare,Clinical trial management and reporting dashboard,Data-Dense;Minimalism,Steel Blue;Nordic Blue
