id,heading_font,body_font,description,style_tags,google_fonts_url
1,Inter,Roboto,Modern tech-focused pairing with clean geometric forms,tech;modern;clean;minimal,https://fonts.google.com/share?selection.family=Inter:wght@700|Roboto:wght@400
2,Playfair Display,Lato,Classic editorial pairing with elegant serif heading,editorial;elegant;classic;magazine,https://fonts.google.com/share?selection.family=Playfair+Display:wght@700|Lato:wght@400
3,Space Grotesk,Inter,Futuristic tech pairing with geometric character,futuristic;tech;geometric;modern,https://fonts.google.com/share?selection.family=Space+Grotesk:wght@700|Inter:wght@400
4,Merriweather,Open Sans,Traditional readable pairing for long-form content,traditional;readable;editorial;content,https://fonts.google.com/share?selection.family=Merriweather:wght@700|Open+Sans:wght@400
5,Poppins,Poppins,Unified rounded geometric pairing great for dashboards,rounded;friendly;dashboard;unified,https://fonts.google.com/share?selection.family=Poppins:wght@700;400
6,Montserrat,Source Sans Pro,Bold geometric heading with clean body for apps,bold;geometric;app;modern,https://fonts.google.com/share?selection.family=Montserrat:wght@700|Source+Sans+Pro:wght@400
7,DM Sans,DM Sans,Unified DM Sans for minimal modern interfaces,minimal;modern;unified;clean,https://fonts.google.com/share?selection.family=DM+Sans:wght@700;400
8,Raleway,Nunito,Elegant thin heading with rounded friendly body,elegant;friendly;rounded;light,https://fonts.google.com/share?selection.family=Raleway:wght@700|Nunito:wght@400
9,Oswald,Roboto,Strong condensed heading with neutral body text,strong;condensed;bold;sports,https://fonts.google.com/share?selection.family=Oswald:wght@700|Roboto:wght@400
10,Cormorant Garamond,Proza Libre,High-fashion luxury pairing with refined elegance,luxury;fashion;refined;editorial,https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@700|Proza+Libre:wght@400
11,Bebas Neue,Open Sans,Impact display heading with clean body for bold designs,impact;bold;display;poster,https://fonts.google.com/share?selection.family=Bebas+Neue|Open+Sans:wght@400
12,Nunito,Nunito Sans,Rounded unified pairing perfect for friendly apps,friendly;rounded;unified;app,https://fonts.google.com/share?selection.family=Nunito:wght@700|Nunito+Sans:wght@400
