id,title,description,priority,category,tags
1,Follow Fitts' Law for Interactive Elements,Make clickable targets large enough to be easily hit. Minimum 44x44px for touch targets on mobile devices.,High,Interaction,accessibility;touch;mobile;targets
2,Use Progressive Disclosure,Reveal information progressively to avoid overwhelming users. Show only what is needed at each step of a task.,High,Visual,information-architecture;cognitive-load;hierarchy
3,Maintain Consistent Navigation,Keep navigation in the same location across all pages. Users rely on muscle memory and spatial navigation.,High,Navigation,consistency;usability;spatial-memory
4,Provide Clear Error Messages,Error messages must explain what went wrong and how to fix it. Avoid technical jargon in user-facing errors.,High,Interaction,errors;feedback;recovery;user-trust
5,Implement Keyboard Navigation,All interactive elements must be accessible via keyboard. Tab order must follow logical visual flow.,High,Accessibility,keyboard;a11y;focus-management;WCAG
6,Meet Color Contrast Requirements,Maintain minimum 4.5:1 contrast ratio for normal text and 3:1 for large text per WCAG 2.1 AA standards.,High,Accessibility,contrast;WCAG;color;readability
7,Show Loading States,Always indicate when content is loading. Use skeletons for layout-heavy content and spinners for actions.,High,Performance,loading;feedback;skeleton;user-trust
8,Confirm Destructive Actions,Always ask for confirmation before irreversible actions like deleting or overwriting data.,High,Interaction,confirmation;safety;destructive-actions
9,Optimize First Contentful Paint,Target FCP under 1.8 seconds. Users perceive sites as slow if content doesn't appear quickly.,High,Performance,performance;FCP;loading-speed
10,Use Semantic HTML Elements,Proper semantic HTML improves accessibility screen reader compatibility and SEO simultaneously.,High,Accessibility,semantic-html;screen-readers;SEO;a11y
11,Design for Thumb Zones on Mobile,Place primary actions in thumb-friendly zones. Critical buttons should not be in the top corners on mobile.,High,Navigation,mobile;thumb-zone;ergonomics;touch
12,Prevent Form Submission Errors,Validate forms inline as users type. Don't wait until submission to reveal all errors at once.,High,Interaction,forms;validation;inline-feedback;error-prevention
13,Implement Focus Indicators,Visible focus indicators are required for all interactive elements. Never remove outline without a replacement.,High,Accessibility,focus;a11y;keyboard;WCAG
