id,name,description,tags,use_cases,vibe
1,Glassmorphism,Frosted glass surfaces with blur effects and transparency creating depth and layering,glass;blur;transparency;frosted;depth,Dashboards;Cards;Modals;Finance apps;Crypto,Ethereal and modern
2,Neumorphism,Soft extruded interfaces using subtle inner and outer shadows on monochromatic backgrounds,soft-ui;shadows;extruded;tactile;monochrome,Settings panels;Calculators;IoT dashboards;Controls,Tactile and soft
3,Claymorphism,3D puffy clay-like UI elements with thick borders colorful gradients and depth,clay;3d;puffy;colorful;cartoon,Kids apps;E-learning;Games;Creative tools,Playful and fun
4,Brutalism,Raw exposed design using bold typography stark contrast and unconventional layouts,bold;raw;contrast;typography;anti-design,Art portfolios;Editorial;Fashion;Music,Bold and rebellious
5,Minimalism,Clean white space focused layouts with essential elements only and refined typography,clean;whitespace;simple;refined;elegant,SaaS;Corporate;Productivity;Portfolio,Calm and focused
6,Dark OLED,Pure black backgrounds optimized for OLED screens with vibrant accent colors,dark;oled;black;vibrant;battery-saving,Mobile apps;Dashboards;Developer tools;Media,Sleek and dramatic
7,AI-Native UI,Futuristic interfaces built for AI interactions with streaming text and generative elements,ai;futuristic;streaming;generative;neural,AI tools;LLM apps;Chatbots;Copilots,Intelligent and fluid
8,Liquid Glass,Ultra-modern liquid glass aesthetic with dynamic refraction and translucent layers,liquid;glass;refraction;apple;translucent,Premium apps;iOS design;Luxury products,Premium and fluid
9,Gradient Glass,Rich gradient backgrounds with glassmorphic overlays creating vibrant depth,gradient;glass;colorful;vibrant;layered,Landing pages;Hero sections;Creative apps,Vibrant and immersive
10,Bold Color,Saturated primary colors with high contrast and energetic compositions,bold;saturated;high-contrast;energetic;primary,Startups;Consumer apps;Marketing;Sports,Energetic and confident
11,Swiss Style,International typographic style with grid systems clean sans-serifs and functional design,swiss;grid;typography;functional;rational,Corporate;Editorial;Print-inspired;Finance,Rational and precise
12,Organic Biophilic,Nature-inspired designs using earth tones organic shapes and botanical elements,organic;nature;earth-tones;botanical;biophilic,Sustainability;Wellness;Food;Eco brands,Natural and calming
13,Editorial,Magazine-inspired layouts with strong typographic hierarchy and photography-driven design,editorial;magazine;typography;photography;layout,Media;Journalism;Blogs;Luxury,Sophisticated and curated
14,Data-Dense,Information-rich interfaces optimized for displaying complex data with maximum density,data;dense;information;tables;charts,Analytics;Finance;BI tools;Monitoring,Analytical and precise
15,Retro-Futurism,Nostalgic sci-fi aesthetic combining vintage elements with futuristic technology,retro;futurism;sci-fi;nostalgic;neon,Gaming;Music;Entertainment;Creative,Nostalgic and imaginative
16,3D Hyperrealism,Photorealistic 3D rendered elements and scenes embedded in UI interfaces,3d;hyperrealism;renders;photorealistic;depth,Gaming;Product showcases;Luxury;Tech,Epic and immersive
17,Soft UI,Gentle pastel palettes rounded corners and airy spacing creating approachable interfaces,soft;pastel;rounded;airy;gentle,Healthcare;Wellness;Family apps;Beauty,Gentle and approachable
18,Warm Organic,Cozy earth-toned interfaces with warm neutrals handcrafted textures and natural forms,warm;earthy;cozy;textured;natural,Food;Hospitality;Lifestyle;Artisan,Cozy and inviting
19,Dark Neon,Black backgrounds with electric neon glow effects cyberpunk aesthetic,dark;neon;cyberpunk;electric;glow,Gaming;Crypto;Nightlife;Entertainment,Electric and edgy
20,Immersive Editorial,Full-bleed photography with floating text overlays and cinematic compositions,cinematic;full-bleed;photography;immersive;overlay,Travel;Luxury;Fashion;Real estate,Cinematic and grand
21,Clean Grid,Structured grid-based layouts with clear hierarchy and consistent spacing,grid;structured;clean;hierarchy;systematic,B2B SaaS;Admin panels;Productivity,Orderly and professional
22,Energetic Bold,Dynamic high-energy interfaces with strong typography motion and vivid colors,energetic;dynamic;motion;bold;vivid,Sports;Fitness;Gaming;Startups,Dynamic and powerful
23,Pastel Dream,Soft pastel color palettes with dreamy gradients and whimsical illustrations,pastel;dreamy;whimsical;illustrations;soft,Beauty;Fashion;Lifestyle;Social apps,Dreamy and delightful
24,Monochromatic Pro,Single-hue color systems with careful tonal variation creating sophisticated depth,monochromatic;tonal;sophisticated;depth;refined,Finance;Law firms;Architecture;Luxury,Refined and authoritative
25,Geometric Abstract,Bold geometric shapes patterns and abstract compositions as primary design elements,geometric;abstract;shapes;patterns;bold,Creative agencies;Art;Tech brands,Creative and dynamic
26,Neon Noir,Dark cinematic aesthetic with neon accent lighting and film noir influences,noir;neon;cinematic;dark;mysterious,Entertainment;Nightlife;Fashion;Security,Mysterious and dramatic
