id,name,primary,secondary,accent,background,surface,text,description,mood
1,Midnight Crypto,#7C3AED,#2563EB,#06B6D4,#030712,#111827,#F9FAFB,Dark OLED background with vibrant purple and cyan accents,Energetic and bold
2,Ocean Depth,#0EA5E9,#6366F1,#34D399,#0F172A,#1E293B,#F1F5F9,Deep navy tones with sky blue and emerald highlights,Calm and professional
3,Sunset Blaze,#F97316,#EF4444,#FBBF24,#0C0A09,#1C1917,#FAFAF9,Warm sunset colors against dark charcoal backgrounds,Warm and passionate
4,Forest Mist,#22C55E,#16A34A,#4ADE80,#F0FDF4,#DCFCE7,#14532D,Natural green palette with light misty backgrounds,Fresh and natural
5,Arctic Pulse,#60A5FA,#818CF8,#C084FC,#F8FAFC,#EFF6FF,#1E3A5F,Cool icy blues with soft purple accents on white,Crisp and clean
6,Ember Glow,#DC2626,#B91C1C,#F59E0B,#1C0A00,#2D1200,#FEF3C7,Deep red ember tones with amber highlights,Intense and dramatic
7,Lavender Dream,#A78BFA,#8B5CF6,#C4B5FD,#F5F3FF,#EDE9FE,#2E1065,Soft lavender and violet palette on light backgrounds,Dreamy and creative
8,Neon City,#22D3EE,#A21CAF,#4ADE80,#030711,#0F172A,#E2E8F0,Vibrant neon accents on ultra dark OLED black,Electric and futuristic
9,Golden Hour,#F59E0B,#D97706,#FCD34D,#FEFCE8,#FEF9C3,#713F12,Rich gold and amber tones creating warmth,Luxurious and warm
10,Rose Quartz,#F472B6,#EC4899,#FB7185,#FFF1F2,#FFE4E6,#881337,Soft pink and rose palette with feminine elegance,Romantic and soft
11,Slate Minimal,#64748B,#475569,#94A3B8,#FFFFFF,#F8FAFC,#0F172A,Clean slate grays with subtle blue undertones,Professional and minimal
12,Deep Purple,#7E22CE,#6D28D9,#A855F7,#0D0618,#1A0433,#FAF5FF,Rich deep purple with vivid violet accents,Mysterious and creative
13,Teal Clarity,#0D9488,#0F766E,#2DD4BF,#F0FDFA,#CCFBF1,#134E4A,Teal and turquoise with clean white backgrounds,Clear and refreshing
14,Carbon Black,#3F3F46,#27272A,#A1A1AA,#09090B,#18181B,#FAFAFA,Minimal charcoal grays with zinc accents,Sleek and modern
15,Cyber Green,#22C55E,#16A34A,#86EFAC,#030D06,#0A1F0E,#DCFCE7,Hacker-style green on near-black backgrounds,Technical and focused
16,Coral Reef,#F97316,#EA580C,#FB923C,#FFF7ED,#FFEDD5,#7C2D12,Coral and orange warm palette,Friendly and energetic
17,Indigo Depths,#4338CA,#3730A3,#818CF8,#1E1B4B,#312E81,#E0E7FF,Deep indigo with lighter blue highlights,Trustworthy and deep
18,Mint Fresh,#10B981,#059669,#6EE7B7,#ECFDF5,#D1FAE5,#065F46,Fresh mint greens with clean backgrounds,Fresh and healthy
19,Volcanic Ash,#78716C,#57534E,#A8A29E,#1C1917,#292524,#FAFAF9,Warm neutral grays inspired by volcanic stone,Grounded and neutral
